timestamp,node_i,node_j,qe
2008-07-28,4,3,69.48752975220373
2008-06-22,4,0,73.80783807139714
2012-08-15,4,0,76.16429699927657
2018-06-28,1,1,78.07973997512413
2018-07-17,2,0,78.75721965508849
2019-07-22,2,0,80.4343673902639
2009-07-27,4,0,81.01617832674393
2007-07-18,3,1,82.25103252578452
2000-09-03,2,1,82.42659874811382
2013-09-02,4,1,83.33119377340593
2022-09-13,4,0,83.35645158075785
1997-07-16,1,2,83.48703333607287
2023-09-29,0,3,84.84049254373592
2006-07-21,1,1,85.43348555574138
2007-10-11,4,3,85.54093358693187
2018-08-07,0,0,85.97134876376956
2006-06-02,2,2,86.29518573581987
2011-08-14,4,2,87.5694748329375
2016-07-25,0,1,89.67776136601509
2012-07-18,2,1,90.12155107492654
2000-07-03,3,2,91.86168143273419
2010-10-12,4,3,92.35846352223452
2002-06-26,1,1,92.42136051090893
2004-07-02,2,2,92.59598676992519
2013-06-03,2,0,93.34251499507089
2018-09-25,0,0,93.3668876589678
2001-08-13,2,0,93.56524714432805
2018-07-27,3,0,94.97833820544585
2019-07-23,4,1,96.07671874333344
2014-06-13,4,0,96.38936674968977
2004-06-17,1,0,96.56824153383228
2011-08-20,4,2,97.34806902258538
2021-08-27,0,1,97.71218547366482
2007-06-28,1,0,98.08147932782616
2012-06-22,3,1,98.09432698454923
2006-08-25,4,2,98.18485332657305
1998-08-17,1,0,99.83028539348405
2013-05-09,2,1,99.96373376943714
2000-08-28,2,3,100.00636440073583
2018-08-11,2,3,100.01183917722355
2014-05-10,1,0,100.02722263739065
1996-09-08,3,0,100.38595537657301
2002-09-02,0,2,100.55440077382468
2005-10-14,0,3,100.58922569223463
2000-08-11,2,3,100.74471126929882
2021-07-08,3,0,101.12281081768886
2007-08-08,1,1,101.22793754995119
2018-09-28,2,0,101.54600824833591
1999-08-26,3,0,103.24393708029173
2019-08-07,4,0,103.96371406249477
2001-06-17,1,1,105.63685987090037
2012-06-07,4,3,105.65104812454562
2011-08-01,1,3,105.8490581050359
2004-09-18,2,1,109.10310963156597
2003-08-17,3,3,109.10472303019448
2015-05-31,2,0,109.91237048128907
2012-08-01,3,2,110.19999830343114
2003-07-22,4,0,110.69767604735566
2017-08-02,3,1,111.6126175127253
2019-07-18,0,1,112.7249915114238
2011-08-22,4,1,114.20702235809166
2002-08-16,0,0,114.42201079027956
2012-09-08,4,0,114.70610453614982
2013-05-23,3,0,115.72226569937526
2005-07-06,3,0,116.3009756840368
2021-09-01,4,1,116.35055747339257
2022-07-18,2,0,116.36965005864974
1996-07-13,4,0,116.39103842540497
2006-06-29,3,0,116.64222603689217
2019-07-31,2,1,117.13632028357365
2004-09-28,2,0,117.37759354844783
2008-08-15,4,3,118.01143679554377
2008-08-11,4,3,118.25402533311717
2020-07-10,0,2,119.9897358496707
2003-09-23,4,0,120.19594068252505
2003-08-04,3,0,122.12865312086792
2013-05-08,0,3,122.55633208990285
2006-08-11,4,3,122.58560130291981
2018-08-04,0,2,122.62420503479356
1996-07-31,3,0,123.17537665965705
2014-08-31,0,0,124.19174981458137
2006-07-12,0,0,124.4198924213432
2015-07-30,0,1,127.76830006033238
2014-07-15,4,0,128.23195617253918
2004-06-25,4,0,128.80541716846767
2004-09-08,2,0,129.3715772112841
2023-07-16,3,0,130.40537396455815
1998-06-13,3,0,130.4259367322538
2014-10-22,1,3,130.45960590391786
2014-07-03,3,0,131.07013044180198
2006-10-28,4,0,132.0701832752655
1996-10-19,3,3,132.65377731331063
2014-07-04,3,0,133.94063288867272
2017-08-04,4,0,134.92718674544125
2007-06-04,4,0,135.15094352580792
1996-07-08,4,1,135.6265404168721
2008-06-14,0,0,136.35818481151105
2015-07-15,4,2,137.01794779968364
2021-08-22,0,3,137.9990248364483
1996-07-03,4,3,139.39316269624848
2017-05-05,4,0,140.1916380630901
2007-07-11,3,0,146.51939222189858
2009-07-29,4,0,147.0831360583703
2010-08-23,0,3,148.22990549440854
2021-06-08,0,1,148.38536541616165
2021-07-02,3,2,148.70190996551574
2004-08-11,4,0,150.44202637709122
2010-10-01,4,0,154.10084871742987
2008-08-14,4,3,155.63883493925687
1999-09-16,4,0,155.6616499326933
2014-05-17,4,0,157.45253768782615
2008-09-06,4,0,160.99297567783364
2017-06-19,3,0,166.24001606453697
2024-08-06,2,1,173.59170893352746
