3 rect 3 3 gaussian
2 0 77.6686 
2 0 58.7159 
1 0 28.3919 
0 0 27.0768 
1 1 23.7336 
2 0 114.765 
1 2 28.9985 
0 0 86.1858 
0 2 29.1269 
1 1 32.0512 
2 0 41.2052 
2 2 23.8739 
2 2 41.9923 
2 1 37.9374 
2 2 44.8143 
2 2 34.5245 
1 2 52.4681 
0 2 24.3286 
1 2 38.4947 
0 2 54.9333 
2 2 30.9819 
1 0 38.6928 
0 0 32.2228 
2 2 47.0759 
0 0 64.8022 
0 2 64.4904 
0 0 57.1251 
2 2 38.3975 
2 0 67.9979 
1 2 34.6859 
2 2 36.4644 
0 2 45.4919 
0 1 32.6119 
0 2 63.3335 
1 2 50.3117 
2 2 33.6646 
1 2 35.4741 
0 2 45.2641 
2 2 27.6869 
2 2 47.9676 
2 0 52.546 
2 0 121.741 
2 0 63.1153 
0 2 40.9004 
0 0 52.4331 
1 1 38.0923 
0 2 37.1294 
2 0 81.8267 
0 1 59.7703 
2 0 31.763 
2 0 38.2694 
2 0 64.4771 
2 0 53.4211 
2 0 42.3318 
0 0 63.9556 
1 0 27.4213 
0 0 49.6866 
1 2 51.9075 
2 0 55.1059 
2 0 72.8353 
1 2 58.2067 
2 1 20.8382 
2 1 32.1388 
0 0 47.2045 
2 0 66.3567 
2 1 53.7634 
1 2 39.13 
2 2 25.3104 
2 0 22.596 
1 0 44.3925 
2 0 89.7646 
2 1 52.9838 
0 0 41.6413 
0 1 26.0674 
2 1 26.3939 
0 1 57.1396 
1 0 102.681 
2 0 32.835 
0 1 39.9327 
0 1 35.643 
2 0 54.7775 
0 2 51.1165 
2 2 78.5638 
1 2 38.4437 
2 0 44.9989 
0 2 37.865 
0 2 29.326 
2 0 143.909 
0 0 56.1112 
0 1 38.1868 
0 0 51.1762 
0 2 39.2472 
0 2 34.9761 
0 0 25.5622 
0 2 45.3453 
0 2 22.3361 
2 2 32.6005 
0 2 70.4668 
0 1 66.8502 
0 2 39.8438 
1 1 24.7496 
2 1 25.1548 
1 2 23.2713 
0 0 23.6193 
0 2 39.8274 
0 2 99.6724 
2 2 52.5487 
0 0 30.8735 
1 2 38.7434 
0 2 42.0468 
0 2 45.2162 
2 0 31.0021 
0 2 33.6363 
1 0 37.2855 
0 0 42.6867 
0 2 56.7167 
0 2 55.0721 
